date,000660,AAPL,AMZN,AVGO,BE,GEV,GOOGL,LITE,META,MSFT,MU,NVDA,PLTR,TSLA,VRT
2025-08-27,1.3696928780833948,-0.38300475196461714,0.39285909265022073,-0.3937857119577942,-2.2454438923754285,-0.13240094099538768,-0.18097247838847455,0.06151123414453348,0.3861696981472694,1.0196857095840255,1.4841618558236003,-0.0486792767064068,-0.8368699819791796,-1.3318027192562785,0.8388792851905229
2025-08-28,1.418701809497273,-0.4165306141160409,0.37976637797273194,-0.44331016072197243,-2.3309366340722533,-0.09078355908316499,-0.19119642929472883,-0.008385680000647298,0.45549252436689,0.9426604165188727,1.437248566752758,-0.04072771338028083,-0.664533459508433,-1.293724710992937,0.8462592660619328
2025-08-29,1.2316319960112057,-0.35441133442839085,0.4097601616843857,-0.5035352052103449,-2.530921284778688,-0.09930701226133755,-0.19914626648179004,-0.40383002837732396,0.527232040389822,0.9990977264767217,1.234043317468129,0.7257411118394561,-0.5963394530671393,-1.0974191723377962,0.6574034030730921
2025-08-30,1.054582226625665,-0.4997812359379249,0.3345449006450788,-0.368745358744637,-2.5246094452659813,-0.023632759377907084,-0.318347282511056,-0.3492167941743134,0.49410176910896675,0.8930568973211701,1.2794710926811972,0.862997063557933,-0.6953326734366531,-1.038052121266174,0.8989637207746366
2025-08-31,1.054582226625665,-0.4997812359379249,0.3345449006450788,-0.368745358744637,-2.5246094452659813,-0.023632759377907084,-0.318347282511056,-0.3492167941743134,0.49410176910896675,0.8930568973211701,1.2794710926811972,0.862997063557933,-0.6953326734366531,-1.038052121266174,0.8989637207746366
2025-09-01,1.054582226625665,-0.4997812359379249,0.3345449006450788,-0.368745358744637,-2.5246094452659813,-0.023632759377907084,-0.318347282511056,-0.3492167941743134,0.49410176910896675,0.8930568973211701,1.2794710926811972,0.862997063557933,-0.6953326734366531,-1.038052121266174,0.8989637207746366
2025-09-02,1.3926653084118223,-0.5109312979169832,0.2943771872826196,-0.3844528152920658,-2.465336495771142,-0.05134314458517278,-0.31111618330543467,-0.36560344924360655,0.4483847083367832,0.8334642783943608,1.2064390860630505,0.804449918024007,-0.6996815060258462,-1.0304812583989136,0.839165664026524
2025-09-03,1.1730351653634905,-0.5374068333074745,0.3216490340998928,-0.4540207772564505,-2.454064080212955,0.2753077722527248,-0.2073831830497834,-0.45377372033108415,0.3950692169048153,0.7732866444663372,1.1637944984923447,0.9034248377781519,-0.8205715186436487,-1.0583382439036668,0.9799911873473052
2025-09-04,1.1618702848275344,-0.6471594499899215,0.35964835316414767,-0.47873764055434403,-2.365667328614377,0.37255884310496884,-0.6432214977279296,-0.464870061408295,0.43402295090594156,0.82492564833349,1.1988492070090302,0.9621492885763413,-0.6624188908684977,-0.9840166728949648,0.9320669661368755
2025-09-05,1.1974468598413193,-0.544544177640336,0.18980313167851887,-0.4064281946986614,-2.4264588659873745,0.27885497087879846,-0.5294347625680554,-0.6863587424946639,0.4506052948009396,0.914008290385571,0.9649660626020118,1.0426410648597741,-0.5753029513853831,-0.9236773748972528,1.053879394624795
