date,AAPL_mom_21d,AAPL_mom_63d,AAPL_mom_126d,AAPL_mom_252_skip21,MSFT_mom_21d,MSFT_mom_63d,MSFT_mom_126d,MSFT_mom_252_skip21,GOOGL_mom_21d,GOOGL_mom_63d,GOOGL_mom_126d,GOOGL_mom_252_skip21,AMZN_mom_21d,AMZN_mom_63d,AMZN_mom_126d,AMZN_mom_252_skip21,META_mom_21d,META_mom_63d,META_mom_126d,META_mom_252_skip21,NVDA_mom_21d,NVDA_mom_63d,NVDA_mom_126d,NVDA_mom_252_skip21,TSLA_mom_21d,TSLA_mom_63d,TSLA_mom_126d,TSLA_mom_252_skip21,PLTR_mom_21d,PLTR_mom_63d,PLTR_mom_126d,PLTR_mom_252_skip21,AVGO_mom_21d,AVGO_mom_63d,AVGO_mom_126d,AVGO_mom_252_skip21,GEV_mom_21d,GEV_mom_63d,GEV_mom_126d,GEV_mom_252_skip21,VRT_mom_21d,VRT_mom_63d,VRT_mom_126d,VRT_mom_252_skip21
2025-09-07,0.034975782937668454,0.12368102696650518,0.17008494010020025,-0.09068335382283854,-0.04682390903533029,-0.006066895987475895,0.1411587648076853,0.21285294015106548,0.15252672115686883,0.3089728427018945,0.43439826871584186,0.06028915461855755,0.00562697485175101,0.03992659236381546,0.2229182019159912,0.03253631284916203,-0.04174547643614468,0.04650806474078606,0.26131283439068076,0.3113032570974623,-0.07442506725607423,0.048198556133419945,0.45879036646799887,0.3172692932747134,0.061350435624394795,0.11254162042175353,0.22154521082135026,-0.2342121113839596,-0.13580177230908153,0.13955046144685923,0.23197618281300292,1.240389479008599,0.09319796089531884,0.21698488246986503,0.648391765920554,0.2740029634576455,-0.06404465857717989,0.126282739470853,0.46935108455840546,0.8653539977935005,-0.06815942994560231,-0.030037446030438897,0.30570435713502997,0.15690298491232135
2025-09-08,0.030274010313591226,0.13431792157755584,0.19896605758878616,-0.08124605430078724,-0.03496633236112445,0.0026098089621453546,0.14619243849064856,0.22187164691222483,0.15110367399168245,0.32501869518910476,0.4282477802611169,0.06662152088779694,0.01879130847984789,0.0553541862442386,0.2655755299168232,0.04604609127880699,-0.01963906304650831,0.04726041816247739,0.2563261182971577,0.300053276143486,-0.07527078470418092,0.06363704736942899,0.47883995873440455,0.32401811534893876,0.0335362215061461,0.17847179696536708,0.23599514736316274,-0.19704846553748112,-0.10302821352640357,0.12205290396779755,0.2612103094449383,1.2548587717025135,0.13046275446900402,0.26067030762698207,0.7261081373669331,0.30489570394483234,-0.039662693947376204,0.13240409694576294,0.4971108470836536,0.8947759622149258,-0.10221818098687263,-0.03516534551927353,0.28504958490127885,0.16901788500697434
2025-09-09,0.01643810281292435,0.11716581857604758,0.1834356584884047,-0.07603798750463808,-0.02067747175691781,0.005254012648346906,0.15424415510169598,0.2140679872413387,0.18988065070705273,0.3755701074157045,0.4711451038211083,0.06733629965899635,0.0448664532257359,0.086068563092633,0.2877141776120211,0.039290760745704034,0.01892289178142259,0.062483584561914496,0.30474329547684653,0.28559117309438564,-0.027783804036321413,0.06725002359638999,0.504066702196539,0.3081265041529704,0.053627281285111295,0.1650716900036937,0.2601053205011803,-0.18455328843106178,0.02922345483359745,0.16212153747047453,0.4914569171412826,1.0858125082639165,0.14160282872146013,0.23866670113028343,0.6865529065148972,0.2788905137445379,0.004261042024796824,0.14332748505741555,0.5102647773352118,0.8358088199667417,-0.0268891742345293,-0.002462474683725513,0.3438421894056938,0.1367666165418835
2025-09-10,0.0034514188329748396,0.07534110691971962,0.15844723316965026,-0.09427198973093853,-0.008952727171706587,-0.004602739201829187,0.1586761401968635,0.20442251187699845,0.20100295459570283,0.3553618717641922,0.5832621238316675,0.055425034869352574,0.029131852910951217,0.03500494293160794,0.2205500503417943,0.020146770591184637,0.005697776741980798,0.026202389266478,0.2609700350819446,0.2791594565422242,0.011002939895222053,0.08871509463852179,0.5149685403473037,0.30633958345902856,0.07375733251003402,0.17544274705961893,0.25910506118311494,-0.19794968304278926,0.0687776424588169,0.16495493607210232,0.5092324402606807,1.0628057649081053,0.26925688601495246,0.32986511132378715,0.808698855543003,0.2626738740620811,0.06445693782558548,0.20170993921329505,0.5826555903608466,0.8402527199575083,0.07213390513222451,0.06520234349909737,0.43201733703044676,0.12346562632767522
2025-09-11,0.022809985477271644,0.08418233876838355,0.16761975216559133,-0.07443725512570232,-0.0064057464154940735,0.0007049922576922718,0.14739606074699552,0.21126278894249828,0.20443138572309594,0.3544954749217626,0.5612947255532807,0.05697145067862275,0.03604415408875883,0.034599118149914565,0.19715743440233213,0.007855780583053251,0.015964769647696553,0.0325328647484433,0.256629811568043,0.23544419073383382,0.012572559276270656,0.07970729198155069,0.5096882115539316,0.2653331616912149,0.15213520352378862,0.19020879723755124,0.29488799943824184,-0.1560061168529845,0.05237546420796524,0.15340350877192988,0.37943768359211094,1.0771379172762336,0.24181346234487266,0.3058446669873618,0.7349805357039103,0.25510758885269014,0.04645205736314861,0.17625703360737033,0.6102183516678505,0.7900691480143678,0.07212841309744022,0.12417172157577205,0.41796486194869376,0.07080458057656758
2025-09-12,0.027704640293223726,0.10975415297527857,0.1819023580085053,-0.06077990029897096,0.0052638596040748276,0.01473835193480122,0.16626515355842675,0.20471657010119926,0.16946994474440036,0.3375669080823296,0.5797582863407493,0.07709822970865043,-0.00301520713162029,0.013909874677806355,0.1817569667460892,0.0207413354743744,0.0010588230611132676,0.053071986287794415,0.2762601221680343,0.25042432005096815,-0.000899589313036242,0.07828006415951339,0.5245792423661717,0.23221879573996085,0.16449516190700275,0.26292622244904473,0.327499497083082,-0.17159633563980126,0.07994204359329715,0.20640394088669956,0.46146632566069923,0.9869821003880337,0.22404476047750865,0.31157183197506844,0.7325473521453421,0.27105832939206054,0.030441304668336278,0.16073569554166567,0.5674552833066959,0.7167962396237586,0.07041315959214667,0.09359268495967776,0.43403715973535495,0.0031483752519059216
2025-09-13,0.027704640293223726,0.10975415297527857,0.1819023580085053,-0.06077990029897096,0.0052638596040748276,0.01473835193480122,0.16626515355842675,0.20471657010119926,0.16946994474440036,0.3375669080823296,0.5797582863407493,0.07709822970865043,-0.00301520713162029,0.013909874677806355,0.1817569667460892,0.0207413354743744,0.0010588230611132676,0.053071986287794415,0.2762601221680343,0.25042432005096815,-0.000899589313036242,0.07828006415951339,0.5245792423661717,0.23221879573996085,0.16449516190700275,0.26292622244904473,0.327499497083082,-0.17159633563980126,0.07994204359329715,0.20640394088669956,0.46146632566069923,0.9869821003880337,0.22404476047750865,0.31157183197506844,0.7325473521453421,0.27105832939206054,0.030441304668336278,0.16073569554166567,0.5674552833066959,0.7167962396237586,0.07041315959214667,0.09359268495967776,0.43403715973535495,0.0031483752519059216
2025-09-14,0.027704640293223726,0.10975415297527857,0.1819023580085053,-0.06077990029897096,0.0052638596040748276,0.01473835193480122,0.16626515355842675,0.20471657010119926,0.16946994474440036,0.3375669080823296,0.5797582863407493,0.07709822970865043,-0.00301520713162029,0.013909874677806355,0.1817569667460892,0.0207413354743744,0.0010588230611132676,0.053071986287794415,0.2762601221680343,0.25042432005096815,-0.000899589313036242,0.07828006415951339,0.5245792423661717,0.23221879573996085,0.16449516190700275,0.26292622244904473,0.327499497083082,-0.17159633563980126,0.07994204359329715,0.20640394088669956,0.46146632566069923,0.9869821003880337,0.22404476047750865,0.31157183197506844,0.7325473521453421,0.27105832939206054,0.030441304668336278,0.16073569554166567,0.5674552833066959,0.7167962396237586,0.07041315959214667,0.09359268495967776,0.43403715973535495,0.0031483752519059216
2025-09-15,0.04199698510752392,0.13588706404069129,0.12419323860740716,-0.06952445890046155,0.022012524884863938,0.026215924624603204,0.15112512777914033,0.18506592502824804,0.20790038766951535,0.3870608288880675,0.5911823520477901,0.06152410480260273,0.015311046766693037,0.02543311622136568,0.10923121165644178,0.0014498484249372279,0.01513336586105174,0.060728182516562645,0.1968300294520109,0.19731972449098145,-0.01140164158275847,0.08343960071099588,0.4453026849583299,0.20349998527336655,0.1830351990767456,0.29390975071000325,0.28789496827690186,-0.15679357742367106,0.08933002481389596,0.14790479383171307,0.4452979908829986,1.0702054794520546,0.23743203509274613,0.3210817070461722,0.6470217016253521,0.25127938094608027,0.04378143721980665,0.13316809796466345,0.5096215171958851,0.6240215565959171,0.10621023059252921,0.10887104538540027,0.3690762988556755,-0.0668631443094927
2025-09-16,0.038550687945243745,0.14016725874787395,0.11971233422768068,-0.04989849431505955,0.013943063909916953,0.008020091793099926,0.13731243791206338,0.1951564298108055,0.21360223190325844,0.3812390627235609,0.5776882413210049,0.062097192479728,0.023348345065803855,0.0340181135409765,0.10729999526895972,0.029715006078069317,0.03301822895224049,0.09657946267831896,0.1883584141776795,0.22247007864300228,-0.037850977388670826,0.024544632703483504,0.346123558097555,0.29726905526485403,0.19890806722211152,0.3566510071433169,0.262070823480109,-0.1082513439496906,0.05837011251320923,0.14591465876968623,0.3291178766588603,1.298471210172882,0.2080139560572789,0.2814120975693404,0.5525632368981457,0.3104257873181755,-0.012781425122183054,0.10466013676215957,0.4265776662563201,0.7004773772781907,0.06845912030855605,0.07315643719925369,0.29507688486185013,-0.02000056723975774
